"Name","Section/Column","Description","Area","Priority","Status","Launch Gate","Type"
"Fix affiliate repo blockers and get lint/build green","Phase 0 — Repo Stabilization","Resolve the current affiliate lint and build failures so the repo is green again. This includes the prop mismatch and ShareTab lint issue.","Affiliate","P0","Not started","Yes","Bug"
"Remove leftover explanatory copy from affiliate My Links","Phase 0 — Repo Stabilization","Simplify the My Links experience so it reads like a clean promote-this-links page instead of a system explainer.","Affiliate","P0","Not started","Yes","Polish"
"Harden admin mutation authorization","Phase 0 — Repo Stabilization","Review admin actions that use elevated access and enforce direct server-side authorization inside the action body rather than relying only on layout-level gating.","Admin / Content","P0","Not started","Yes","Bug"
"QA affiliate portal mobile and desktop flow","Phase 0 — Repo Stabilization","Verify tabs, copy density, link copying, and earnings flow work cleanly across breakpoints after the simplification pass.","Affiliate","P1","Not started","Yes","QA / Verification"
"Verify seeded April daily audio month linkage","Phase 1 — Content Model + Member Experience","Audit the seeded April daily audios and confirm month_year, publish state, and date alignment are correct.","Today / Archive","P0","Not started","Yes","QA / Verification"
"Fix /today daily-audio archive query behavior","Phase 1 — Content Model + Member Experience","Make sure /today shows the expected prior daily audios for the active month and excludes only today's audio intentionally.","Today / Archive","P0","Not started","Yes","Bug"
"Run launch-readiness content audit","Phase 1 — Content Model + Member Experience","Use the existing launch audit tooling to find missing daily, weekly, monthly, and audio-source coverage blockers inside the launch window.","Admin / Content","P0","Not started","Yes","QA / Verification"
"Redesign /today daily-audio archive navigation","Phase 1 — Content Model + Member Experience","Replace the raw long-list pattern with a calmer navigation model such as recent-first, expandable sections, or week grouping.","Today / Archive","P0","Not started","Yes","Feature"
"Unify /today and archive-month component behavior","Phase 1 — Content Model + Member Experience","Bring current-month and closed-month pages into one coherent model using shared visual and structural patterns where possible.","Today / Archive","P1","Not started","Yes","Feature"
"Convert monthly archive page to finalized closed-month experience","Phase 1 — Content Model + Member Experience","Treat archive month pages as completed month packages with theme, weekly reflections, and daily audios aligned to the Today design system.","Today / Archive","P1","Not started","Yes","Feature"
"Hide active month from Library while it is still live on /today","Phase 1 — Content Model + Member Experience","Update library month visibility so the active month does not appear in the archive while it is still in progress.","Library","P0","Not started","Yes","Bug"
"Hide future seeded months from Library","Phase 1 — Content Model + Member Experience","Prevent future archived months from appearing to members before they are actually reached.","Library","P0","Not started","Yes","Bug"
"QA admin content publishing workflow","Phase 1 — Content Model + Member Experience","Verify admins can create, edit, publish, and surface monthly themes, weekly principles, daily audios, and Vimeo-backed media reliably.","Admin / Content","P1","Not started","Yes","QA / Verification"
"QA /today, archive, and library month lifecycle","Phase 1 — Content Model + Member Experience","Verify the full month lifecycle model: active month on /today, closed months in library, no future months visible.","Today / Archive","P1","Not started","Yes","QA / Verification"
"Verify account billing, cancel, and upgrade flows end to end","Phase 1 — Content Model + Member Experience","Run the real member self-service flows and confirm billing portal, upgrade, and cancel behavior match the current product promise.","Billing / Account","P0","Not started","Yes","QA / Verification"
"Verify member contact and security settings flow","Phase 1 — Content Model + Member Experience","Confirm members can update contact details, password, and related account settings without friction.","Billing / Account","P1","Not started","Yes","QA / Verification"
"Define downgrade handling policy and UX","Blocked / Needs Decision","Decide whether downgrade is portal-driven, support-driven, or handled with a custom in-app path before building or promising it.","Billing / Account","P0","Not started","Yes","Decision"
"Create public affiliate program rules page","Phase 2 — Affiliate + Email + Growth Systems","Publish the public rules page that affiliates can review before enrollment and while participating in the program.","Affiliate","P0","Not started","Yes","Feature"
"Complete affiliate agreement gating flow","Phase 2 — Affiliate + Email + Growth Systems","Require agreement to the affiliate rules before affiliate account creation or activation is completed.","Affiliate","P0","Not started","Yes","Feature"
"Decide whether affiliate agreement acceptance needs durable storage","Blocked / Needs Decision","Choose whether affiliate agreement acceptance should be stored with timestamp and versioning for auditability before locking the onboarding model.","Affiliate","P1","Not started","Yes","Decision"
"Enforce affiliate payout-setup gate","Phase 2 — Affiliate + Email + Growth Systems","Require payout readiness before the affiliate portal is fully unlocked and earnings can be treated as payable.","Affiliate","P1","Not started","Yes","Feature"
"Improve Share Kit resources and interface","Phase 2 — Affiliate + Email + Growth Systems","Add stronger starter scripts, better channel-specific assets, cleaner UI, and simpler copy-to-share actions.","Affiliate","P1","Not started","Yes","Feature"
"Finalize affiliate tracking truth model","Phase 2 — Affiliate + Email + Growth Systems","Make FirstPromoter the only affiliate reporting truth and avoid showing local redirect counts as performance metrics.","Affiliate","P0","Not started","Yes","Decision"
"Audit ActiveCampaign sync behavior","Phase 2 — Affiliate + Email + Growth Systems","Verify new customer, tier-change, affiliate, cancellation, and payment-state sync events are working as intended.","Email / CRM","P0","Not started","Yes","QA / Verification"
"Verify affiliate tagging and welcome automation trigger","Phase 2 — Affiliate + Email + Growth Systems","Confirm affiliate-specific tagging and welcome automation behavior in ActiveCampaign are actually wired correctly.","Email / CRM","P1","Not started","Yes","QA / Verification"
"Define launch email system of record","Blocked / Needs Decision","Decide exactly which sequences stay app-managed in Positives and which sequences belong in ActiveCampaign.","Email / CRM","P0","Not started","Yes","Decision"
"Define minimum required launch sequences","Phase 2 — Affiliate + Email + Growth Systems","Reduce the lifecycle-email scope to the minimum needed for launch so the team does not overbuild the sequence map.","Email / CRM","P1","Not started","Yes","Decision"
"Verify Stripe webhook lifecycle behavior","Phase 2 — Affiliate + Email + Growth Systems","Confirm checkout, subscription changes, payment failures, recoveries, cancellations, and member-state updates are all reflected correctly after webhook events.","Email / CRM","P0","Not started","Yes","QA / Verification"
"Verify cron jobs and email timing","Phase 2 — Affiliate + Email + Growth Systems","Confirm onboarding, winback, and payment-recovery cron routes are scheduled correctly and run with the intended timing.","Email / CRM","P1","Not started","Yes","QA / Verification"
"Verify unsubscribe and support/contact flows","Phase 2 — Affiliate + Email + Growth Systems","Check unsubscribe behavior, support forms, and visible support contact paths so members and leads can get clean lifecycle and help experiences.","Email / CRM","P1","Not started","Yes","QA / Verification"
"QA new-member onboarding lifecycle","Phase 2 — Affiliate + Email + Growth Systems","Verify checkout, member creation, email enrollment, and early lifecycle communication behave correctly from first purchase onward.","Email / CRM","P1","Not started","Yes","QA / Verification"
"Run Level 1 promise audit","Phase 3 — Tier Features: Events + Coaching","Verify the live Level 1 experience fully matches the current sales promise across content, account, and member access.","Events / Coaching","P1","Not started","Yes","QA / Verification"
"Run Level 2 promise audit","Phase 3 — Tier Features: Events + Coaching","Verify the Level 2 sales promise against the real product and document exactly what is missing.","Events / Coaching","P0","Not started","Yes","QA / Verification"
"Run Level 3 promise audit","Phase 3 — Tier Features: Events + Coaching","Verify the Level 3 coaching promise against the real product and close any gaps in access, replay, and delivery.","Events / Coaching","P0","Not started","Yes","QA / Verification"
"Decide Level 2 product model: events only, community plus events, or combined surface","Blocked / Needs Decision","Choose the clean Level 2 product shape before building the dedicated route and UX.","Events / Coaching","P0","Not started","Yes","Decision"
"Build Level 2 /events route and gating","Phase 3 — Tier Features: Events + Coaching","Create the missing member-facing events route with proper subscription gating and a clear member experience.","Events / Coaching","P0","Not started","Yes","Feature"
"Define Level 2 replay and archive behavior","Phase 3 — Tier Features: Events + Coaching","Decide how members should access past events, replays, and archives so the route has a complete model.","Events / Coaching","P1","Not started","Yes","Feature"
"Finish Level 3 weekly coaching Zoom flow","Phase 3 — Tier Features: Events + Coaching","Validate join-link handling, timing, member access, and operator workflow for weekly coaching sessions.","Events / Coaching","P0","Not started","Yes","Feature"
"Verify Level 3 replay publishing flow","Phase 3 — Tier Features: Events + Coaching","Confirm coaching replays publish cleanly and appear correctly for the right members after live sessions.","Events / Coaching","P1","Not started","Yes","QA / Verification"
"Decide Level 4 surface area","Blocked / Needs Decision","Confirm whether Executive Coaching remains intentionally admin-assigned only or gains more explicit product surfaces.","Events / Coaching","P2","Not started","No","Decision"
"Run full promise-vs-platform audit across pricing, join, FAQ, and upgrade","Phase 3 — Tier Features: Events + Coaching","Check every major promise surface against the actual implemented routes and behaviors so launch copy stays truthful.","Marketing","P0","Not started","Yes","QA / Verification"
